Model,User_ID,Mean_User_Accuracy,Sample_Count,Folds_Processed
Logit_Weighted_L2,57,0.787796272355096,1362,5
Logit_Weighted_L2,69,0.8084663382594417,872,5
Logit_Weighted_L2,32,0.9082557229751899,1406,5
Logit_Weighted_L2,13,0.858065582104728,1402,5
Logit_Weighted_L2,48,0.662211486849168,808,5
Logit_Weighted_L2,76,0.8597200821777093,884,5
Logit_Weighted_L2,90,0.7152467532467532,878,5
Logit_Weighted_L2,29,0.9170882632938937,856,5
Logit_Weighted_L2,17,0.7421432165017608,1338,5
Logit_Weighted_L2,72,0.808881033114494,832,5
Logit_Weighted_L2,94,0.5595375722543353,865,5
Logit_Weighted_L2,53,0.48877880976952176,853,5
Logit_Weighted_L2,8,0.7728830670603973,1409,5
Logit_Weighted_L2,79,0.858858166922683,1396,5
Logit_Weighted_L2,47,0.628805431463113,1409,5
Logit_Weighted_L2,22,0.5851667496266799,1227,5
Logit_Weighted_L2,3,0.664367816091954,870,5
Logit_Weighted_L2,80,0.6977604140745534,1416,5
Logit_Weighted_L2,66,0.6746403940886699,873,5
Logit_Weighted_L2,54,0.6954545454545454,880,5
Logit_Weighted_L2,31,0.8453865847414235,1397,5
Logit_Weighted_L2,10,0.5009542800170916,593,5
Logit_Weighted_L2,75,0.7708233413269384,1392,5
Logit_Weighted_L2,93,0.5076923076923078,845,5
Logit_Weighted_L2,87,0.8084507042253521,1420,5
Logit_Weighted_L2,61,0.6829950262132006,861,5
Logit_Weighted_L2,98,0.9474052263525948,1426,5
Logit_Weighted_L2,40,0.801418439716312,1410,5
Logit_Weighted_L2,25,0.6890912757091006,862,5
Logit_Weighted_L2,44,0.682608695652174,1380,5
Logit_Weighted_L2,0,0.8690624765055259,1413,5
Logit_Weighted_L2,83,0.8369268897149938,1349,5
Logit_Weighted_L2,65,0.7725200983323367,866,5
Logit_Weighted_L2,14,0.49688674181427805,809,5
Logit_Weighted_L2,97,0.6566867376872009,1273,5
Logit_Weighted_L2,50,0.6002291204730229,823,5
Logit_Weighted_L2,88,0.7037849517031012,1401,5
Logit_Weighted_L2,35,0.7625273649037907,1318,5
Logit_Weighted_L2,92,0.7293727422003284,872,5
Logit_Weighted_L2,74,0.6113657749697541,862,5
Logit_Weighted_L2,11,0.8379620916789892,864,5
Logit_Weighted_L2,30,0.4988235294117647,850,5
Logit_Weighted_L2,55,0.774744169857292,848,5
Logit_Weighted_L2,24,0.7454187192118227,872,5
Logit_Weighted_L2,41,0.4845737097234103,838,5
Logit_Weighted_L2,99,0.7907514450867053,865,5
Logit_Weighted_L2,60,0.8714671512581711,1408,5
Logit_Weighted_L2,86,0.7412749552526503,1349,5
Logit_Weighted_L2,5,0.6566806192279583,868,5
Logit_Weighted_L2,64,0.4862965838509317,802,5
Logit_Weighted_L2,82,0.793659771600948,1362,5
Logit_Weighted_L2,1,0.6947445352468274,868,5
Logit_Weighted_L2,20,0.7837575101209355,1392,5
Logit_Weighted_L2,45,0.8353652561821511,1391,5
Logit_Weighted_L2,34,0.6273291925465838,805,5
Logit_Weighted_L2,89,0.6187980295566502,871,5
Logit_Weighted_L2,96,0.9073234811165845,874,5
Logit_Weighted_L2,70,0.6966420945602441,1401,5
Logit_Weighted_L2,15,0.8505576021852994,1412,5
Logit_Weighted_All_L2,91,0.6303797468354431,790,5
Logit_Weighted_All_L2,52,0.46379084967320255,677,5
Logit_Weighted_All_L2,36,0.4790697674418604,645,5
Logit_Weighted_All_L2,58,0.8480326074432538,1316,5
Logit_Weighted_All_L2,4,0.8701983404169196,1217,5
Logit_Weighted_All_L2,21,0.5983920448534856,687,5
Logit_Weighted_All_L2,71,0.8306675780359992,661,5
Logit_Weighted_All_L2,51,0.7808935632465045,1109,5
Logit_Weighted_All_L2,19,0.6608867129062966,858,5
Logit_Weighted_All_L2,27,0.6961899072799522,1389,5
Logit_Weighted_All_L2,42,0.6758620689655173,870,5
Logit_Weighted_All_L2,63,0.8746492119979663,1404,5
Logit_Weighted_All_L2,85,0.819407727503813,1401,5
Logit_Weighted_All_L2,6,0.8352112676056338,1420,5
Logit_Weighted_All_L2,38,0.7070588235294117,850,5
Logit_Weighted_All_L2,49,0.7693546351682189,1409,5
Logit_Weighted_All_L2,77,0.8941978547126197,1389,5
Logit_Weighted_All_L2,12,0.6793496610653714,1388,5
Logit_Weighted_All_L2,33,0.7379508885499984,1267,5
Logit_Weighted_All_L2,56,0.6974099992785514,833,5
Logit_Weighted_All_L2,68,0.777142857142857,1400,5
Logit_Weighted_All_L2,37,0.6638294838893641,839,5
Logit_Weighted_All_L2,9,0.5676781609195403,872,5
Logit_Weighted_All_L2,95,0.6854489164086688,852,5
Logit_Weighted_All_L2,73,0.8462538699690402,852,5
Logit_Weighted_All_L2,28,0.6514619883040936,855,5
Logit_Weighted_All_L2,16,0.8162353838332486,1404,5
Logit_Weighted_All_L2,67,0.7851428571428571,875,5
Logit_Weighted_All_L2,59,0.5141872607030977,848,5
Logit_Weighted_All_L2,81,0.8523665480427047,1402,5
Logit_Weighted_All_L2,2,0.840465175394001,1404,5
Logit_Weighted_All_L2,23,0.8848744502766349,1329,5
Logit_Weighted_All_L2,78,0.5747126436781609,870,5
Logit_Weighted_All_L2,46,0.5236129481378351,848,5
Logit_Weighted_All_L2,7,0.7428571428571428,871,5
Logit_Weighted_All_L2,39,0.7565583119475334,838,5
Logit_Weighted_All_L2,84,0.662765737874097,854,5
Logit_Weighted_All_L2,62,0.6553787569699443,859,5
Logit_Weighted_All_L2,43,0.8877968753943616,1408,5
Logit_Weighted_All_L2,18,0.8543478260869566,1380,5
Logit_Weighted_All_L2,26,0.7913031233998976,1399,5
Logit_Weighted_All_L2,57,0.7642587804352511,1362,5
Logit_Weighted_All_L2,69,0.7970114942528734,872,5
Logit_Weighted_All_L2,32,0.906120491658464,1406,5
Logit_Weighted_All_L2,13,0.8509328927300457,1402,5
Logit_Weighted_All_L2,48,0.6249904148454873,808,5
Logit_Weighted_All_L2,76,0.8438751926040062,884,5
Logit_Weighted_All_L2,90,0.7175,878,5
Logit_Weighted_All_L2,29,0.9065279477764179,856,5
Logit_Weighted_All_L2,17,0.7518558890938565,1338,5
Logit_Weighted_All_L2,72,0.7644397951085781,832,5
Logit_Weighted_All_L2,94,0.5329479768786127,865,5
Logit_Weighted_All_L2,53,0.4770760233918129,853,5
Logit_Weighted_All_L2,8,0.8076827944776761,1409,5
Logit_Weighted_All_L2,79,0.851705069124424,1396,5
Logit_Weighted_All_L2,47,0.6295096034930971,1409,5
Logit_Weighted_All_L2,22,0.5794756927161109,1227,5
Logit_Weighted_All_L2,3,0.6206896551724138,870,5
Logit_Weighted_All_L2,80,0.6871547305031603,1416,5
Logit_Weighted_All_L2,66,0.6208669950738915,873,5
Logit_Weighted_All_L2,54,0.7090909090909091,880,5
Logit_Weighted_All_L2,31,0.8561290322580646,1397,5
Logit_Weighted_All_L2,10,0.4385415183022362,593,5
Logit_Weighted_All_L2,75,0.7743998349707331,1392,5
Logit_Weighted_All_L2,93,0.48284023668639053,845,5
Logit_Weighted_All_L2,87,0.821830985915493,1420,5
Logit_Weighted_All_L2,61,0.6853071649415243,861,5
Logit_Weighted_All_L2,98,0.9326929211139738,1426,5
Logit_Weighted_All_L2,40,0.8070921985815603,1410,5
Logit_Weighted_All_L2,25,0.6984137652910338,862,5
Logit_Weighted_All_L2,44,0.653623188405797,1380,5
Logit_Weighted_All_L2,0,0.8711826178482822,1413,5
